DATE,AAPL,ABBV,AMZN,CBON,COIN,COP,DVN,LEMB,MSFT,PST,TMUS,TMV,TYO,UNH,XOM
2/01/2018,43.065,98.41,1189.01,22.83,,55.32,42.23,48.66,85.95,21.73,63.9216,181.8,14.18,221.16,85.03
3/01/2018,43.058,99.95,1204.2,22.83,,56.34,42.72,48.9899,86.35,21.67,63.4924,179.3,14.09,223.48,86.7
4/01/2018,43.258,99.38,1209.59,22.83,,56.99,43.23,49.2,87.11,21.7,62.8835,179.6,14.17,224.45,86.82
5/01/2018,43.75,101.11,1229.14,22.934,,56.88,43.11,49.16,88.19,21.8,64.4806,181,14.18,228.73,86.75
8/01/2018,43.588,99.49,1246.87,22.938,,57.46,43.25,49.04,88.28,21.7959,64.9796,181.5,14.245,224.76,87.14
9/01/2018,43.583,100.24,1252.7,22.89,,57.93,42.54,48.94,88.22,22,65.4787,188.7,14.4399,225.88,86.77
10/01/2018,43.573,99.69,1254.33,22.84,,57.65,42.18,48.92,87.82,22.06,63.7719,189.3,14.441,224.2,86.08
11/01/2018,43.82,99.27,1276.68,22.925,,59.18,43.07,49.2,88.08,21.99,63.722,186.9,14.355,225.39,86.93
12/01/2018,44.273,100.34,1305.2,23,,60.05,44.04,49.58,89.6,22.04,63.5623,185.9,14.4648,228.64,87.52
15/01/2018,44.273,100.34,1305.2,23,,60.05,44.04,49.58,89.6,22.04,63.5623,185.9,14.4648,228.64,87.52
16/01/2018,44.048,102.49,1304.86,23.04,,58.84,43.26,49.71,88.35,22.04,62.8536,183.9,14.42,232.9,86.97
17/01/2018,44.775,104.36,1295,23.09,,59.86,43.44,49.7,90.14,22.105,63.6421,184.5,14.52,238.43,88
18/01/2018,44.815,103.81,1293.32,23.13,,59.76,43.2,49.9,90.1,22.23,62.7637,189.5,14.6654,243.16,87.43
19/01/2018,44.615,104.64,1294.58,23.22,,59.75,42.85,49.8001,90,22.36,63.5922,192.7,14.74,243.35,87.15
22/01/2018,44.25,106.49,1327.31,23.2238,,60.67,44.81,49.91,91.61,22.42,63.8218,192.3,14.8055,243.56,88.25
23/01/2018,44.26,105.38,1362.54,23.26,,60.47,44.52,49.87,91.9,22.26,64.4107,189.6,14.6494,245.21,88.3
24/01/2018,43.555,105.51,1357.51,23.361,,60.49,44.52,50.55,91.82,22.37,64.8798,192.9,14.7789,244.85,88.53
25/01/2018,42.778,108.3,1377.95,23.6,,59.48,43.91,50.55,92.33,22.24,64.2709,188.2,14.645,245.18,88.37
26/01/2018,42.878,123.21,1402.05,23.63,,60.39,43.86,50.544,94.06,22.41,65.1593,190.6,14.8,248.47,89
29/01/2018,41.99,122.31,1417.68,23.44,,59.66,43.33,50.26,93.92,22.53,64.4806,194.1,14.94,247.41,88.01
30/01/2018,41.743,115.88,1437.82,23.44,,58.46,41.52,49.97,92.74,22.63,64.6403,197.6,14.95,236.65,86.78
31/01/2018,41.858,112.22,1450.89,23.64,,58.81,41.37,50.33,95.01,22.65,64.9796,194.2,15.03,236.78,87.3
1/02/2018,41.945,116.34,1390,23.62,,59.35,42.22,50.76,94.26,22.87,63.6721,202.4,15.26,235.22,89.07
2/02/2018,40.125,115.17,1429.95,23.525,,57.72,40.03,50.09,91.78,22.9701,63.4724,208.3,15.38,231.88,84.53
5/02/2018,39.123,109.51,1390,23.51,,55.94,38.65,49.7,88,22.64,61.4262,202,15.07,220.02,79.72
6/02/2018,40.758,111.2,1442.84,23.7204,,55.94,38.38,49.97,91.33,22.83,60.7375,205.9,15.19,225.18,78.35
